Population Growth,Annual CO₂ emissions
18431231,9182573571.565945
18431242,9182579383.901527
18431255,9182585254.360476
18431266,9182591066.696072
18431277,9182596879.031673
18431290,9182602749.49064
18431301,9182608561.826256
18431312,9182614374.161877
18431325,9182620244.620863
18431336,9182626056.956495
18431347,9182631869.292137
18431360,9182637739.75114
18431371,9182643552.086794
18431382,9182649364.422457
18431395,9182655234.88148
18431406,9182661047.217152
18431418,9182666859.552832
18431430,9182672730.011873
18431441,9182678542.347563
18431453,9182684354.683262
18431465,9182690225.142323
18431476,9182696037.478033
18431488,9182701849.813751
18431500,9182707720.272831
18431512,9182713532.608559
18431523,9182719403.067654
18431535,9182725215.403395
18431547,9182731085.862501
18431558,9182736898.198257
18431570,9182742710.534018
18431582,9182748580.993141
18431593,9182754393.328917
18431605,9182760205.664696
18431617,9182766076.12384
18431628,9182771888.459635
18431641,9182777758.918789
18431652,9182783571.254597
18431663,9182789383.590406
18431676,9182795254.049583
18431687,9182801066.38541
18431698,9182806878.72124
18431711,9182812749.180435
18431722,9182818561.51628
18431734,9182824373.852129
18431746,9182830244.311342
18431757,9182836056.647205
18431769,9182841927.106432
18431781,9182847739.442308
18431792,9182853551.77819
18431804,9182859422.237434
18431816,9182865234.573332
18431827,9182871046.909231
18431839,9182876917.368496
18431851,9182882729.70441
18431863,9182888600.163689
18431874,9182894412.499615
18431886,9182900224.835548
18431898,9182906095.294844
18431909,9182911907.63079
18431921,9182917719.966742
18431933,9182923590.426056
18431944,9182929402.762022
18431957,9182935215.097992
18431968,9182941085.557327
18431979,9182946897.89331
18431992,9182952710.2293
18432003,9182958580.688654
18432014,9182964393.024656
18432027,9182970263.484024
18432038,9182976075.82004
18432049,9182981888.156061
18432062,9182987758.615446
18432073,9182993570.95148
18432085,9182999383.287521
18432097,9183005253.746925
18432108,9183011066.08298
18432120,9183016878.419037
18432132,9183022748.878462
18432143,9183028561.214535
18432155,9183034431.673971
18432167,9183040244.010056
18432179,9183046056.346148
18432190,9183051868.682243
18432202,9183057739.141708
18432214,9183063551.477818
18432225,9183069363.813932
18432237,9183075234.273417
18432249,9183081046.609545
18432260,9183086858.945679
18432272,9183092729.40518
18432284,9183098541.741327
18432295,9183104412.200842
18432308,9183110224.537003
18432319,9183116036.873169
18432330,9183121907.332703
18432343,9183127719.66888
18432354,9183133590.12843
18432365,9183139402.46462
18432378,9183145214.800817
18432389,9183151085.260386
18432401,9183156897.596596
18432413,9183162709.932812
18432424,9183168580.392399
18432436,9183174392.728628
18432447,9183180263.188225
18432459,9183186075.524467
18432471,9183191887.860716
18432482,9183197758.320332
18432494,9183203570.656595
18432506,9183209441.116224
18432517,9183215253.452497
18432530,9183221065.788778
18432541,9183226936.248426
18432552,9183232748.584719
18432565,9183238619.044384
18432576,9183244432.543154
18432587,9183250243.717
18432600,9183256114.176682
18432611,9183261926.513006
18432623,9183267738.849337
18432635,9183273609.309036
18432646,9183279421.64538
18432658,9183285233.98173
18432670,9183291104.44145
