Entity,Code,Year,"Other renewables (TWh, direct energy)","Solar (TWh, direct energy)","Wind (TWh, direct energy)","Hydropower (TWh, direct energy)","Total Renewable (TWh, direct energy)","Total Fossil Fuel (TWh,direction energy)"
World,OWID_WRL,1800,0,0,0,0,0,97
World,OWID_WRL,1810,0,0,0,0,0,128
World,OWID_WRL,1820,0,0,0,0,0,153
World,OWID_WRL,1830,0,0,0,0,0,264
World,OWID_WRL,1840,0,0,0,0,0,356
World,OWID_WRL,1850,0,0,0,0,0,569
World,OWID_WRL,1860,0,0,0,0,0,1061
World,OWID_WRL,1870,0,0,0,0,0,1648
World,OWID_WRL,1880,0,0,0,0,0,2575
World,OWID_WRL,1890,0,0,0,14,14,3978
World,OWID_WRL,1900,0,0,0,17,17,5973
World,OWID_WRL,1910,0,0,0,33,33,9195
World,OWID_WRL,1920,0,0,0,64,64,10955
World,OWID_WRL,1930,0,0,0,131,131,12484
World,OWID_WRL,1940,0,0,0,192,192,15114
World,OWID_WRL,1950,0,0,0,333,333,20139
World,OWID_WRL,1960,0,0,0,689,689,31011
World,OWID_WRL,1965,17.985231,0,0,923.19806,941.183291,40440.5347
World,OWID_WRL,1966,19.806007,0,0,983.81696,1003.622967,42545.5728
World,OWID_WRL,1967,19.98657,0,0,1005.7424,1025.72897,44179.187
World,OWID_WRL,1968,22.120045,0,0,1059.2887,1081.408745,46844.6254
World,OWID_WRL,1969,23.257965,0,0,1121.7424,1145.000365,49995.746
World,OWID_WRL,1970,25.701897,0,0,1174.6497,1200.351597,53193.803
World,OWID_WRL,1971,27.888294,0,0,1227.2422,1255.130494,55280.082
World,OWID_WRL,1972,29.888775,0,0,1284.629,1314.517775,58160.071
World,OWID_WRL,1973,32.09585,0,0,1303.013,1335.10885,61606.282
World,OWID_WRL,1974,34.289085,0,0,1431.2317,1465.520785,61462.717
World,OWID_WRL,1975,34.81208,0,0,1448.8834,1483.69548,61431.202
World,OWID_WRL,1976,38.79105,0,0,1443.1366,1481.92765,64824.954
World,OWID_WRL,1977,40.89204,0,0,1491.6724,1532.56444,66961.455
World,OWID_WRL,1978,43.29665,0,0.003,1614.3823,1657.68195,69301.876
World,OWID_WRL,1979,46.499256,0,0.006,1695.1862,1741.691456,71595.827
World,OWID_WRL,1980,49.717464,0,0.0105,1731.6493,1781.377264,70619.704
World,OWID_WRL,1981,53.48617,0,0.0105,1768.9036,1822.40027,69813.593
World,OWID_WRL,1982,61.708954,0,0.0185,1800.9081,1862.635554,69063.255
World,OWID_WRL,1983,68.35493,0.003,0.03279495,1877.7689,1946.159625,69706.792
World,OWID_WRL,1984,76.34615,0.006311111,0.044755556,1941.3734,2017.770617,72583.888
World,OWID_WRL,1985,78.69558,0.011747475,0.064220205,1979.2446,2058.016148,73917.146
World,OWID_WRL,1986,85.43938,0.015183838,0.13883132,2006.0651,2091.658495,75392.047
World,OWID_WRL,1987,91.51002,0.01060303,0.19537677,2033.1884,2124.9044,77898.681
World,OWID_WRL,1988,94.15391,0.01019596,0.3315798,2098.3518,2192.847486,80607.437
World,OWID_WRL,1989,104.66536,0.26222324,2.6497767,2087.588,2195.16536,82268.393
World,OWID_WRL,1990,117.21735,0.38834995,3.6324706,2158.854,2280.092171,83064.32
World,OWID_WRL,1991,122.25421,0.5053229,4.086107,2208.702,2335.54764,83294.065
World,OWID_WRL,1992,131.14992,0.4666791,4.732812,2208.4592,2344.808611,83769.074
World,OWID_WRL,1993,135.47186,0.5566775,5.704169,2341.4597,2483.192407,83915.758
World,OWID_WRL,1994,140.66844,0.5969829,7.13173,2356.203,2504.600153,84960.596
World,OWID_WRL,1995,146.63136,0.63888276,8.272123,2483.6868,2639.229166,86531.621
World,OWID_WRL,1996,150.6927,0.69922996,9.215601,2517.03,2677.637531,89078.884
World,OWID_WRL,1997,161.40073,0.7496558,12.028216,2561.359,2735.537602,90023.977
World,OWID_WRL,1998,168.2064,0.811852,15.92926,2581.1204,2766.067912,90476.657
World,OWID_WRL,1999,176.63608,0.9052879,21.226898,2600.65,2799.418266,91940.495
World,OWID_WRL,2000,184.89665,1.0594312,31.409636,2646.7285,2864.094217,94406.925
World,OWID_WRL,2001,192.05826,1.4237884,38.380093,2578.737,2810.599141,95558.997
World,OWID_WRL,2002,206.70955,1.7994766,52.381878,2626.306,2887.196905,97669.166
World,OWID_WRL,2003,218.39073,2.255641,63.2847,2623.0532,2906.984271,101887.997
World,OWID_WRL,2004,236.05714,2.9718347,85.618484,2816.6147,3141.262159,106794.471
World,OWID_WRL,2005,255.4333,4.187687,104.62774,2911.3308,3275.579527,110509.383
World,OWID_WRL,2006,272.0138,5.762825,133.5028,3022.2476,3433.527025,113618.281
World,OWID_WRL,2007,295.2423,7.818763,171.5083,3072.5112,3547.080563,117489.948
World,OWID_WRL,2008,315.8789,12.6981945,221.41554,3251.702,3801.694635,118344.037
World,OWID_WRL,2009,339.2694,21.073503,276.79816,3246.445,3883.586063,116038.72
World,OWID_WRL,2010,378.83444,33.912262,346.40918,3430.1318,4189.287682,121502.585
World,OWID_WRL,2011,397.6471,65.64861,440.67798,3492.674,4396.64769,124557.796
World,OWID_WRL,2012,430.3208,101.52152,530.5034,3641.8489,4704.19462,126339.215
World,OWID_WRL,2013,464.44162,138.59294,635.5076,3788.1174,5026.65956,128002.845
World,OWID_WRL,2014,502.8774,197.2615,705.8885,3889.0215,5295.0489,128770.164
World,OWID_WRL,2015,544.0647,255.97948,831.37604,3879.4531,5510.87332,129421.873
World,OWID_WRL,2016,552.9557,328.41495,962.1343,4014.4116,5857.91655,130300.27
World,OWID_WRL,2017,588.78033,445.47995,1141.5242,4071.2231,6247.00758,132517.437
World,OWID_WRL,2018,636.2133,575.76025,1269.5287,4189.757,6671.25925,135556.367
World,OWID_WRL,2019,667.61945,705.22516,1420.624,4243.2876,7036.75621,136105.723
World,OWID_WRL,2020,702.9823,854.37476,1593.953,4359.012,7510.32206,129446.441
World,OWID_WRL,2021,751.1769,1059.2937,1854.1052,4288.783,7953.3588,136585.128
World,OWID_WRL,2022,776.85657,1322.6157,2104.8396,4334.19,8538.50187,137236.668
