Year,Annual CO₂ emissions,Total CO₂ emissions
1993,22798350000.0,875705766222.0
1994,23034776000.0,898740542222.0
1995,23524491000.0,922265033222.0
1996,24250161000.0,946515194222.0
1997,24395952000.0,970911146222.0
1998,24330945000.0,995242091222.0
1999,24833495000.0,1020075586222.0
2000,25501286000.0,1045576872222.0
2001,25674930000.0,1071251802222.0
2002,26248288000.0,1097500090222.0
2003,27648650000.0,1125148740222.0
2004,28620194000.0,1153768934222.0
2005,29592103000.0,1183361037222.0
2006,30605767000.0,1213966804222.0
2007,31499735000.0,1245466539222.0
2008,32041902000.0,1277508441222.0
2009,31493265000.0,1309001706222.0
2010,33306330000.0,1342308036222.0
2011,34436470000.0,1376744506222.0
2012,34935450000.0,1411679956222.0
2013,35232470000.0,1446912426222.0
2014,35466195000.0,1482378621222.0
2015,35463213000.0,1517841834222.0
2016,35460026000.0,1553301860222.0
2017,36025455000.0,1589327315222.0
2018,36766945000.0,1626094260222.0
2019,37040103000.0,1663134363222.0
2020,35007738000.0,1698142101222.0
2021,36816544000.0,1734958645222.0
